
13 Aug 2021 - 10:35:06;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 28ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 52% used;Upload: ;Download: 
13 Aug 2021 - 10:35:07;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 36ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 52% used;Upload: ;Download: 
13 Aug 2021 - 10:35:08;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 30ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 52% used;Upload: ;Download: 
13 Aug 2021 - 10:35:09;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 1% used;RAM: 52% used;Upload: 628 Bytes;Download: 514 Bytes
13 Aug 2021 - 10:35:10;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 1% used;RAM: 52% used;Upload: 636 Bytes;Download: 521 Bytes
13 Aug 2021 - 10:35:11;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 52% used;Upload: 655 Bytes;Download: 518 Bytes
13 Aug 2021 - 10:35:12;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 648 Bytes;Download: 514 Bytes
13 Aug 2021 - 10:35:13;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 590 Bytes;Download: 519 Bytes
13 Aug 2021 - 10:35:23;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 52% used;Upload: ;Download: 
13 Aug 2021 - 10:35:24;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 11% used;RAM: 53% used;Upload: ;Download: 
13 Aug 2021 - 10:35:25;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 52% used;Upload: ;Download: 
13 Aug 2021 - 10:35:26;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 4.95 KB;Download: 1.07 KB
13 Aug 2021 - 10:35:27;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 52% used;Upload: 4.95 KB;Download: 1.07 KB
13 Aug 2021 - 10:35:27;Windows 10 Pro;Int IP: 192.168.134.128;Ping: Failed to Ping;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 52% used;Upload: 967 Bytes;Download: 858 Bytes
13 Aug 2021 - 10:35:28;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 28ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 53% used;Upload: 1.32 KB;Download: 1.02 KB
13 Aug 2021 - 10:35:29;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 24ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 53% used;Upload: 755 Bytes;Download: 515 Bytes
13 Aug 2021 - 10:35:30;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 649 Bytes;Download: 514 Bytes
13 Aug 2021 - 10:35:31;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 762 Bytes;Download: 517 Bytes
13 Aug 2021 - 10:35:32;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 28ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 654 Bytes;Download: 518 Bytes
13 Aug 2021 - 10:35:33;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 37ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 591 Bytes;Download: 442 Bytes
13 Aug 2021 - 10:35:34;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 24ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 52% used;Upload: 591 Bytes;Download: 442 Bytes
