21 Jul 2021 - 19:27:18,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 72% used;Upload: 814 Bytes;Download: 548 Bytes
21 Jul 2021 - 19:27:19,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 19ms;CPU: Disabled;GPU: Disabled;CPU: 11% used;RAM: 72% used;Upload: 983 Bytes;Download: 671 Bytes
21 Jul 2021 - 19:27:20,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 28% used;RAM: 72% used;Upload: 3.33 KB;Download: 6.73 KB
21 Jul 2021 - 19:27:21,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 13% used;RAM: 72% used;Upload: 4.92 KB;Download: 2.06 KB
21 Jul 2021 - 19:27:22,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 72% used;Upload: 1.55 KB;Download: 1015 Bytes
21 Jul 2021 - 19:27:23,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 12% used;RAM: 72% used;Upload: 1.69 KB;Download: 1.13 KB
21 Jul 2021 - 19:27:24,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 72% used;Upload: 10.60 KB;Download: 514.53 KB
21 Jul 2021 - 19:27:25,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 72% used;Upload: 1.53 KB;Download: 969 Bytes
21 Jul 2021 - 19:27:26,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 12% used;RAM: 72% used;Upload: 14.49 KB;Download: 2.77 KB
21 Jul 2021 - 19:27:27,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 15% used;RAM: 72% used;Upload: 1.58 KB;Download: 1.01 KB
21 Jul 2021 - 19:27:28,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 9% used;RAM: 72% used;Upload: 1.51 KB;Download: 958 Bytes
21 Jul 2021 - 19:27:29,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 15% used;RAM: 73% used;Upload: 2.45 KB;Download: 5.70 KB
21 Jul 2021 - 19:27:30,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 15% used;RAM: 72% used;Upload: 2.11 KB;Download: 2.18 KB
21 Jul 2021 - 19:27:31,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 22% used;RAM: 73% used;Upload: 1.51 KB;Download: 975 Bytes
21 Jul 2021 - 19:27:32,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 22% used;RAM: 72% used;Upload: 2.42 KB;Download: 1.62 KB
21 Jul 2021 - 19:27:33,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 31% used;RAM: 73% used;Upload: 2.27 KB;Download: 1.50 KB
21 Jul 2021 - 19:27:34,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 45% used;RAM: 73% used;Upload: 1.58 KB;Download: 1.01 KB
21 Jul 2021 - 19:27:35,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 32% used;RAM: 73% used;Upload: 1.47 KB;Download: 902 Bytes
21 Jul 2021 - 19:27:36,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 17% used;RAM: 73% used;Upload: 1.52 KB;Download: 978 Bytes
21 Jul 2021 - 19:27:37,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 11% used;RAM: 73% used;Upload: 1.54 KB;Download: 973 Bytes
21 Jul 2021 - 19:27:38,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 23ms;CPU: Disabled;GPU: Disabled;CPU: 13% used;RAM: 73% used;Upload: 1.47 KB;Download: 902 Bytes
21 Jul 2021 - 19:27:40,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 293ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 73% used;Upload: 1.45 KB;Download: 887 Bytes
21 Jul 2021 - 19:27:40,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 73% used;Upload: 6.59 KB;Download: 330.09 KB
21 Jul 2021 - 19:27:41,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 22ms;CPU: Disabled;GPU: Disabled;CPU: 7% used;RAM: 73% used;Upload: 1.81 KB;Download: 1.98 KB
21 Jul 2021 - 19:27:42,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 22ms;CPU: Disabled;GPU: Disabled;CPU: 7% used;RAM: 73% used;Upload: 4.30 KB;Download: 1.85 KB
21 Jul 2021 - 19:27:43,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 22ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 73% used;Upload: 1.62 KB;Download: 1.06 KB
21 Jul 2021 - 19:27:44,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 73% used;Upload: 1.52 KB;Download: 965 Bytes
21 Jul 2021 - 19:27:45,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 73% used;Upload: 1.47 KB;Download: 905 Bytes
21 Jul 2021 - 19:27:46,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 11% used;RAM: 73% used;Upload: 2.16 KB;Download: 1.27 KB
21 Jul 2021 - 19:27:47,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 73% used;Upload: 4.68 KB;Download: 121.21 KB
21 Jul 2021 - 19:27:48,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 12% used;RAM: 73% used;Upload: 21.49 KB;Download: 1.76 MB
21 Jul 2021 - 19:27:49,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 23ms;CPU: Disabled;GPU: Disabled;CPU: 14% used;RAM: 73% used;Upload: 1.52 KB;Download: 967 Bytes
21 Jul 2021 - 19:27:50,Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 13% used;RAM: 73% used;Upload: 2.36 KB;Download: 1.41 KB
22 Jul 2021 - 19:15:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 76% used;Upload: ;Download: 
22 Jul 2021 - 19:15:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 76% used;Upload: ;Download: 
22 Jul 2021 - 19:15:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 76% used;Upload: ;Download: 
22 Jul 2021 - 19:15:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 76% used;Upload: ;Download: 
22 Jul 2021 - 19:15:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 76% used;Upload: ;Download: 
22 Jul 2021 - 19:15:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 76% used;Upload: ;Download: 
22 Jul 2021 - 19:16:00;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: ;Download: 
22 Jul 2021 - 19:16:01;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 12% used;RAM: 77% used;Upload: 21.88 KB;Download: 1.13 MB
22 Jul 2021 - 19:16:02;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 77% used;Upload: 9.63 KB;Download: 453.83 KB
22 Jul 2021 - 19:16:03;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 11% used;RAM: 77% used;Upload: 3.94 KB;Download: 9.13 KB
22 Jul 2021 - 19:16:04;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 11% used;RAM: 77% used;Upload: 11.56 KB;Download: 366.26 KB
22 Jul 2021 - 19:16:05;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 77% used;Upload: 3.68 KB;Download: 7.66 KB
22 Jul 2021 - 19:16:06;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 77% used;Upload: 3.80 KB;Download: 7.86 KB
22 Jul 2021 - 19:16:07;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 7% used;RAM: 77% used;Upload: 3.84 KB;Download: 6.70 KB
22 Jul 2021 - 19:16:08;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 7.41 KB;Download: 352.92 KB
22 Jul 2021 - 19:16:09;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 77% used;Upload: 5.23 KB;Download: 167.24 KB
22 Jul 2021 - 19:16:10;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 77% used;Upload: 1.58 KB;Download: 5.68 KB
22 Jul 2021 - 19:16:11;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 11% used;RAM: 77% used;Upload: 1.70 KB;Download: 5.87 KB
22 Jul 2021 - 19:16:12;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 28ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 76% used;Upload: 4.70 KB;Download: 84.57 KB
22 Jul 2021 - 19:16:13;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 77% used;Upload: 1.30 KB;Download: 5.56 KB
22 Jul 2021 - 19:16:14;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 76% used;Upload: 4.70 KB;Download: 331.29 KB
22 Jul 2021 - 19:16:15;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 9% used;RAM: 77% used;Upload: 2.10 KB;Download: 6.03 KB
22 Jul 2021 - 19:16:16;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 76% used;Upload: 8.75 KB;Download: 484.24 KB
22 Jul 2021 - 19:16:17;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 28ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 76% used;Upload: 5.77 KB;Download: 1.95 KB
22 Jul 2021 - 19:16:18;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 77% used;Upload: 3.82 KB;Download: 84.16 KB
22 Jul 2021 - 19:16:19;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 76% used;Upload: 5.73 KB;Download: 360.59 KB
22 Jul 2021 - 19:16:20;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 76% used;Upload: 1.31 KB;Download: 1.14 KB
22 Jul 2021 - 19:16:21;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 77% used;Upload: 1.62 KB;Download: 5.78 KB
22 Jul 2021 - 19:16:22;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 76% used;Upload: 1.49 KB;Download: 5.71 KB
22 Jul 2021 - 19:16:23;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 77% used;Upload: 2.81 KB;Download: 5.59 KB
22 Jul 2021 - 19:16:24;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 77% used;Upload: 2.98 KB;Download: 86.22 KB
22 Jul 2021 - 19:16:25;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 9% used;RAM: 76% used;Upload: 9.59 KB;Download: 329.50 KB
22 Jul 2021 - 19:16:26;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 9% used;RAM: 77% used;Upload: 6.56 KB;Download: 413.13 KB
